date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:55	1899/1899	---M--	200	added ('OK')	image/png	etag:%22663b57fa-c94%22	https://templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-8.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-8.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:55	5432/5432	---M--	200	added ('OK')	image/png	etag:%22663b57fa-1f1a%22	https://templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-9.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-9.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:55	3652/3652	---M--	200	added ('OK')	image/jpeg	etag:%22663b57fa-e4c%22	https://templates.hibootstrap.com/jexi/default/assets/images/clients/client-1.jpg	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/clients/client-1.jpg	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:56	3460/3460	---M--	200	added ('OK')	image/jpeg	etag:%22663b57fa-d8c%22	https://templates.hibootstrap.com/jexi/default/assets/images/clients/client-4.jpg	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/clients/client-4.jpg	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:56	2756/2756	---M--	200	added ('OK')	image/jpeg	etag:%22663b57fa-acc%22	https://templates.hibootstrap.com/jexi/default/assets/images/clients/client-3.jpg	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/clients/client-3.jpg	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:56	5598/5598	---M--	200	added ('OK')	image/png	etag:%22663b57fa-2296%22	https://templates.hibootstrap.com/jexi/default/assets/images/overlay-shape.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/overlay-shape.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:57	81340/81340	---M--	200	added ('OK')	image/jpeg	etag:%22663b57fa-13dc4%22	https://templates.hibootstrap.com/jexi/default/assets/images/cooking-image.jpg	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/cooking-image.jpg	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:57	8079/8079	---M--	200	added ('OK')	image/png	etag:%22663b57fa-2095%22	https://templates.hibootstrap.com/jexi/default/assets/images/shapes/bg-top-shape.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/shapes/bg-top-shape.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:57	6319/6319	---M--	200	added ('OK')	image/png	etag:%22663b57fa-1962%22	https://templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-1.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-1.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:57	2268/2268	---M--	200	added ('OK')	image/png	etag:%22663b57fa-8de%22	https://templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-2.png	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/shapes/shape-2.png	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:58	42715/42715	---M--	200	added ('OK')	image/jpeg	etag:%22663b57fa-a6e3%22	https://templates.hibootstrap.com/jexi/default/assets/images/courses/course-image-7.jpg	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/courses/course-image-7.jpg	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:58	48543/48543	---M--	200	added ('OK')	image/jpeg	etag:%22663b57fa-bda7%22	https://templates.hibootstrap.com/jexi/default/assets/images/courses/course-image-8.jpg	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/courses/course-image-8.jpg	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:58	44707/44707	---M--	200	added ('OK')	image/jpeg	etag:%22663b57fa-aeab%22	https://templates.hibootstrap.com/jexi/default/assets/images/courses/course-image-9.jpg	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/courses/course-image-9.jpg	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
22:24:58	42856/42856	---M--	200	added ('OK')	image/jpeg	etag:%22663b57fa-a770%22	https://templates.hibootstrap.com/jexi/default/assets/images/courses/course-image-10.jpg	C:/My%20Web%20Sites/Jexi/templates.hibootstrap.com/jexi/default/assets/images/courses/course-image-10.jpg	(from https://templates.hibootstrap.com/jexi/default/index-2.html)
